#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Big Shot","Billy Joel",58,150,"soft rock","Rock","52nd Street",1978-10-13,04:03,52,74,16,0,73,10,0,-12,C,4,2025-10-06,22wxe2Yc9JzihICXYLGAQ7,"Columbia",8B,USSM17800446
2,"Honesty","Billy Joel",63,135,"soft rock","Rock","52nd Street",1978-10-13,03:53,55,27,42,0,21,0,10,-15,A#/B♭,4,2025-10-06,34E0Higz6fFVXlbVsn6TIW,"Columbia",6B,USSM17800447
3,"My Life","Billy Joel",79,131,"soft rock","Rock","52nd Street",1978-10-13,04:44,74,65,11,0,80,0,0,-13,D,4,2025-10-06,4ZoBC5MhSEzuknIgAkBaoT,"Columbia",10B,USSM17800448
4,"Zanzibar","Billy Joel",56,148,"soft rock","Rock","52nd Street",1978-10-13,05:10,59,46,27,0,71,0,20,-15,A minor,4,2025-10-06,70Znjq5VPKFrwlB7O26SWT,"Columbia",8A,USSM17800449
5,"Stiletto","Billy Joel",45,96,"soft rock","Rock","52nd Street",1978-10-13,04:41,62,53,2,5,46,0,0,-16,F,4,2025-10-06,2BG0KgG8XPPijzrfOmGpzd,"Columbia",7B,USSM17800450
6,"Rosalinda's Eyes","Billy Joel",42,167,"soft rock","Rock","52nd Street",1978-10-13,04:40,57,41,61,0,64,20,0,-19,G,4,2025-10-06,6rbuyK8TNQ72oP2KY52k4d,"Columbia",9B,USSM17800451
7,"Half a Mile Away","Billy Joel",40,142,"soft rock","Rock","52nd Street",1978-10-13,04:08,58,54,14,0,91,0,10,-15,G minor,4,2025-10-06,09datZkY6pysFP4lE0bo3M,"Columbia",6A,USSM17800452
8,"Until the Night","Billy Joel",38,95,"soft rock","Rock","52nd Street",1978-10-13,06:36,56,37,8,0,28,0,0,-14,C,4,2025-10-06,3UzWjLQVzCG60gwJdApLqI,"Columbia",8B,USSM17800453
9,"52nd Street","Billy Joel",36,130,"soft rock","Rock","52nd Street",1978-10-13,02:26,70,35,16,3,64,0,30,-19,G,4,2025-10-06,4V4JM8brxPHFkaDd4OyTii,"Columbia",9B,USSM17800454
10,"The Authority Song","Jimmy Eat World",49,124,"emo, pop punk","Rock, Pop","Bleed American",2001-07-17,03:37,62,85,2,0,50,0,10,-4,B minor,4,2025-10-06,7gAw3OKcrfeRWOFxWs7wgK,"Interscope",10A,USDW10110263
11,"Semi-Charmed Life","Third Eye Blind",79,102,"","","Third Eye Blind",1997-04-08,04:28,64,86,1,0,70,0,10,-7,G,4,2025-10-06,42et6fnHCw1HIPSrdPprMl,"Rhino/Elektra",9B,USEE19701203
12,"BLACKOUT","Turnstile",66,84,"hardcore punk, hardcore","Electronic, Rock","GLOW ON",2021-08-27,02:53,30,81,0,11,60,0,0,-6,F#/G♭,4,2025-10-06,0bGImSqDB2ebdeoCidUC8o,"Roadrunner Records",2B,NLA322100050
13,"Straw Hat","Microwave",23,136,"midwest emo, emo, pop punk","Rock, Pop","Straw Hat",2022-05-19,03:30,62,88,19,3,46,0,10,-6,F#/G♭,4,2025-10-06,3IENyibLBDdE2N2mAN1d0n,"Pure Noise Records",2B,USSTT2200225
14,"Relapse","Divided By Friday",36,178,"","","Modern Memoirs",2013-10-15,03:25,36,83,21,0,64,0,20,-5,B,4,2025-10-06,1FJm4f49Po8iCht1tdOTPB,"Hopeless Records",1B,USHR21269009
15,"Dead Inside","Future Palace",47,110,"metalcore","Metal","Run",2022-06-10,03:24,45,94,0,0,47,0,10,-5,F#/G♭ minor,4,2025-10-06,4hZIolup6cgYhrzzGq46aq,"Arising Empire",11A,DEYO62100129
16,"Don't Look Back In Anger","Oasis",72,164,"britpop, madchester","Pop, Rock","(What's The Story) Morning Glory?",1995-10-02,04:47,35,92,3,0,21,0,10,-4,C,4,2025-10-06,7ppPZa3TRUSGKaks9wH7VT,"Big Brother Recordings Ltd",8B,GBAAW9500190
17,"Television Romance","Pale Waves",38,115,"","","My Mind Makes Noises",2018-09-14,03:24,53,91,0,0,52,0,30,-3,E,4,2025-10-06,2diAlJqrMMX7Sv9FlzcUMc,"Pale Waves (Dirty Hit/ISR) PS",12B,GBK3W1700603
18,"Tokyo","Prey Drive",17,81,"","","Once More with Feeling",2018-11-09,04:07,47,93,0,0,29,0,20,-4,G#/A♭,4,2025-10-06,6tLB1vGo269pvIpvFrdhoL,"Krod Records",4B,ESA011816940
19,"They Call Me Steve","Teenage Bottlerocket",0,169,"skate punk, punk, pop punk, ska punk, horror punk","Metal, Rock, Pop, Reggae","Tales From Wyoming",2015-03-27,02:20,42,94,0,0,72,0,0,-3,D,4,2025-10-06,2PjjQv4785YfDhXs2KvrPc,"Rise Records",10B,USEK71527604
20,"Rest To Get Better","Transit",0,123,"pop punk","Pop, Rock","Joyride",2014-10-17,03:25,61,99,0,0,43,0,20,-3,D#/E♭,4,2025-10-06,03hUwBvGTrQpHpvE4pO2oq,"Rise Records",5B,USEK71425703
21,"Caught in the Rain","October Fall",21,151,"","","A Season In Hell",2006-02-21,03:32,53,92,1,0,64,0,30,-3,D,4,2025-10-06,6qWpl4HuXHcvKmYlcJsBLl,"Decaydance Records / Fueled By Ramen",10B,US56V0508102
22,"Feel Bad","A Story Told",1,123,"","","Good Looks",2017-10-13,04:26,57,97,0,0,23,10,30,-5,E,4,2025-10-06,2rzb5bMRoTlW7TaW1Lz7cV,"A Story Told",12B,TCADG1719925
23,"Jessica","girlfriends",46,175,"pop punk","Pop, Rock","girlfriends",2020-10-23,02:27,51,86,1,0,31,0,10,-5,C♯/D♭ minor,4,2025-10-06,6yxywHX0rto296j9LsM3Pt,"Big Noise Music Group",12A,USA2P2035344
24,"Target Practice","carolesdaughter",31,113,"","","please put me in a medically induced coma",2022-04-08,02:30,61,60,0,0,14,0,10,-5,G,4,2025-10-06,7rVqmDGODZCM4zfCjfGNqg,"Arista Records",9B,USAR12100100
25,"Spiderwebs","No Doubt",64,143,"","","Tragic Kingdom",1995-10-10,04:26,49,85,4,0,66,0,10,-7,A#/B♭,4,2025-10-06,4ZD6SiaJi75smnel0d7jl3,"Trauma",6B,USIR19500270
26,"Your Graduation","Modern Baseball",62,185,"midwest emo, emo, pop punk, folk punk, math rock","Rock, Folk, Pop","You're Gonna Miss It All",2014-02-11,02:43,40,90,0,0,63,10,30,-6,G#/A♭ minor,4,2025-10-06,7kVoPBSlGghzLoQjODkxGD,"Run For Cover Records",1A,QMCE71300069
27,"Deal","No Pressure",45,164,"pop punk, skate punk","Pop, Rock","No Pressure",2020-08-21,02:43,39,94,0,0,58,0,30,-4,A,4,2025-10-06,5ER4pcEZSQebs20yVWu0vq,"No Pressure Punx LLC",11B,TCAFB2045174
28,"Santeria","Sublime",80,91,"reggae rock, ska punk, ska","Reggae, Rock","Sublime",1996-07-30,03:02,68,77,3,0,57,0,10,-5,C♯/D♭ minor,4,2025-10-06,2hnMS47jN0etwvFPzYk11f,"Gasoline Alley",12A,USGA19649253
29,"Something In The Way","Nirvana",69,105,"grunge, rock","Rock","Nevermind (Remastered)",1991-09-26,03:52,43,20,75,26,7,0,10,-13,G#/A♭,4,2025-10-06,1nFtiJxYdhtFfFtfXBv06s,"Geffen",4B,USGF19942512
30,"Dancing with Myself","Generation X",61,176,"","","Kiss Me Deadly",1981-01-01,03:48,39,95,0,61,83,0,60,-3,E,4,2025-10-06,1lEhKudlkpBsh6S7JyvvHs,"Chrysalis Records",12B,GBAYK8100135
31,"When Your Heart Stops Beating","+44",55,171,"pop punk, punk, skate punk","Pop, Rock","When Your Heart Stops Beating",2006-01-01,03:12,42,97,0,0,43,10,0,-2,A minor,4,2025-10-06,1VpTwecl7EbQiGyVsvwFQE,"Interscope",8A,USUM70610945
32,"Feel It Still","Portugal. The Man",82,79,"","","Woodstock",2017-06-16,02:43,80,80,4,0,75,0,0,-5,C♯/D♭ minor,4,2025-10-06,6QgjcU0zLnzq5OrUoSZ3OK,"Atlantic Records",12A,USAT21700437
33,"Somebody That I Used To Know","Gotye, Kimbra",76,129,"","","Making Mirrors",2011-01-01,04:04,86,50,59,0,72,0,10,-7,C,4,2025-10-06,4wCmqSrbyCgxEXROQE6vtV,"Samples & Seconds / Republic",8B,AUZS21100040
34,"18","Anarbor",59,98,"pop punk","Pop, Rock","Burnout (Deluxe Version)",2013-06-04,02:37,72,85,6,0,88,10,0,-3,B,4,2025-10-06,21hbZ0yllYOoXEbiFDYMSI,"Hopeless Records",1B,USHR21254004
35,"Awful Ever After","Hot Milk",42,144,"pop punk","Pop, Rock","Awful Ever After",2019-01-14,03:27,49,94,0,0,34,10,10,-3,G#/A♭,4,2025-10-06,2JoqtXeVgy7gZP0fgCoUth,"Music For Nations",4B,TCAEA1991476
36,"Kids","PUP",47,157,"midwest emo, indie punk, emo, punk","Rock","Morbid Stuff",2019-04-05,03:30,49,96,0,1,70,0,40,-3,G#/A♭,4,2025-10-06,7IpHgRSdnWqAID7CVZGXWo,"Rise Records",4B,QMRSZ1802745
37,"It's Always Better","I Hate Kate",0,110,"","","Embrace the Curse",2008-01-01,03:37,59,90,0,0,40,0,10,-4,C,4,2025-10-06,2zMz7gYH9YOWUovyzrawIj,"Glassnote Entertainment Group LLC",8B,USYAH0700005
38,"505","Arctic Monkeys",82,140,"indie, garage rock","Rock, Pop","Favourite Worst Nightmare (Standard Version)",2007-04-24,04:13,52,85,0,0,23,0,0,-6,C,4,2025-10-06,58ge6dfP91o9oXMzq3XkIS,"Domino/Warner Records",8B,GBCEL0700074
39,"MK Ultra","Muse",51,155,"alternative rock, rock","Rock","The Resistance",2009-09-10,04:06,39,86,0,1,35,0,20,-5,A minor,4,2025-10-06,0MrkZz4D3fGlEkhebjPPrh,"Warner Records",8A,GBAHT0900326
