#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Like Slow Disappearing - alternative","Turnover",24,124,"midwest emo, dream pop, pop punk","Pop, Rock","Peripheral Vision (10 Year Anniversary Deluxe Edition)",2025-05-02,03:55,59,79,0,89,52,0,10,-5,F,4,2025-10-05,2AQYWnBBCSvVBIzH4TX1rQ,"Run For Cover Records",7B,QMCE72512215
2,"Take My Head - alternative","Turnover",26,163,"midwest emo, dream pop, pop punk","Pop, Rock","Peripheral Vision (10 Year Anniversary Deluxe Edition)",2025-05-02,03:31,30,98,0,72,23,10,30,-4,B minor,4,2025-10-05,13nlDYskhd7cvWEetVySiq,"Run For Cover Records",10A,QMCE72512216
3,"Bonnie (Rhythm & Melody)","Turnover",35,110,"midwest emo, dream pop, pop punk","Pop, Rock","Good Nature",2017-08-25,05:07,61,65,1,1,39,0,10,-8,A,4,2025-10-05,1Q9cFN2AEvY06Z7tHs2uMa,"Run For Cover Records",11B,QMCE71301456
4,"Bonnie (Rhythm & Melody)","Turnover",35,110,"midwest emo, dream pop, pop punk","Pop, Rock","Good Nature",2017-08-25,05:07,61,65,1,1,39,0,10,-8,A,4,2025-10-05,1Q9cFN2AEvY06Z7tHs2uMa,"Run For Cover Records",11B,QMCE71301456
5,"Diazepam - alternative","Turnover",27,110,"midwest emo, dream pop, pop punk","Pop, Rock","Peripheral Vision (10 Year Anniversary Deluxe Edition)",2025-05-02,03:34,56,82,4,41,30,0,10,-6,G,4,2025-10-05,4Vt1rWd8mcdp78o6WU49QD,"Run For Cover Records",9B,QMCE72512214
6,"Like Slow Disappearing - alternative","Turnover",24,124,"midwest emo, dream pop, pop punk","Pop, Rock","Peripheral Vision (10 Year Anniversary Deluxe Edition)",2025-05-02,03:55,59,79,0,89,52,0,10,-5,F,4,2025-10-05,2AQYWnBBCSvVBIzH4TX1rQ,"Run For Cover Records",7B,QMCE72512215
7,"Humming - alternative","Turnover",29,155,"midwest emo, dream pop, pop punk","Pop, Rock","Peripheral Vision (10 Year Anniversary Deluxe Edition)",2025-05-02,03:59,38,89,0,53,28,0,10,-4,F,4,2025-10-05,26iim5MihLB3rgnoR0xRzK,"Run For Cover Records",7B,QMCE72512213
8,"Square Hammer","Ghost",65,130,"metal, hard rock","Rock, Metal","Meliora (Deluxe Edition)",2016-09-16,03:59,53,90,0,18,75,0,20,-4,D minor,4,2025-10-05,2XgTw2co6xv95TmKpMcL70,"Loma Vista",7A,USC4R1601984
9,"All That I've Got","The Used",58,178,"emo, screamo, post-hardcore, pop punk","Rock, Pop, Metal","In Love and Death",2004-09-27,03:50,34,86,0,0,45,0,10,-5,G,4,2025-10-05,6IxQ0PdozaZKch1m8tGCwb,"Reprise",9B,USRE10400951
10,"Bullet With Butterfly Wings - Remastered 2012","The Smashing Pumpkins",59,122,"alternative rock, rock","Rock","Mellon Collie And The Infinite Sadness (Remastered)",1995-12-12,04:18,40,72,0,84,48,0,0,-9,A#/B♭ minor,4,2025-10-05,4qMzPtAZe0C9KWpWIzvZAP,"Virgin Records",3A,USVI21200897
11,"Los Angeles Is Burning","Bad Religion",52,163,"punk, skate punk, hardcore punk, melodic hardcore, ska punk","Rock, Reggae","The Empire Strikes First",2004-00-00,03:23,42,96,0,0,64,0,10,-3,C,4,2025-10-05,0biGKHOtNVGM14sRSztyKq,"Epitaph",8B,USEP40407106
12,"Don't Stop Me Now - Remastered 2011","Queen",74,156,"classic rock, rock, glam rock","Rock","Jazz (Deluxe Remastered Version)",1978-11-10,03:29,56,87,5,0,60,10,70,-5,F,4,2025-10-05,7hQJA50XrCWABAu5v6QZ4i,"Hollywood Records",7B,GBUM71029610
13,"Dead On Time - Remastered 2011","Queen",29,144,"classic rock, rock, glam rock","Rock","Jazz (Deluxe Remastered Version)",1978-11-10,03:23,31,96,1,0,41,20,20,-5,B minor,4,2025-10-05,1mW0eYPzc4Gj2I0eMpdrLx,"Hollywood Records",10A,GBUM71103313
14,"toxic till the end","ROSÉ",80,167,"k-pop","Pop","rosie",2024-12-06,02:36,41,60,5,0,30,10,10,-6,G,4,2025-10-05,1z5ebC9238uGoBgzYyvGpQ,"Atlantic Records",9B,USAT22409170
